county,precinct,asian,black,white,latino,native,other
1,294,14,6,665,87,,3
1,295,8,2,597,170,,11
1,296,5,17,332,191,,31
1,297,18,39,739,394,,53
1,298,50,53,703,380,,36
1,299,8,14,862,220,,26
1,300,33,11,385,181,,13
1,301,21,6,571,149,,17
1,302,82,13,1514,293,,18
1,303,,,284,221,,1
1,304,38,6,462,74,,3
1,305,6,40,654,248,,33
1,306,4,18,377,229,,12
1,307,19,1,597,127,,4
1,308,,3,443,89,,5
1,311,4,25,392,228,,79
1,312,3,28,490,244,,48
1,313,2,5,270,141,,3
1,314,24,14,475,145,2,17
1,315,12,29,418,173,,15
1,316,2,33,552,247,1,26
1,317,7,15,396,144,,17
1,318,1,39,378,790,,77
1,321,7,6,266,232,,15
1,322,3,12,187,192,,20
1,323,29,39,373,534,,39
1,324,90,33,1075,532,,64
1,326,12,36,365,608,,69
1,327,15,19,437,477,,65
1,328,128,29,941,503,,29
1,329,17,24,372,346,,16
1,330,5,70,352,393,,67
1,331,5,70,304,311,,90
1,332,5,27,458,285,,42
1,333,15,7,1018,163,,7
1,341,7,,463,108,,5
1,342,6,4,340,83,1,3
1,343,3,,513,149,,2
1,344,10,2,741,207,2,4
1,345,18,12,1074,444,2,37
1,346,,52,434,478,,79
1,347,,24,487,392,1,90
1,351,6,6,405,77,,12
1,352,5,6,587,73,,9
1,353,4,1,345,71,,1
1,354,6,9,508,107,,5
1,355,3,1,547,99,,1
1,356,6,2,488,71,,2
1,357,3,,353,90,,4
1,358,21,72,809,459,,167
1,371,26,4,705,127,,1
1,372,4,4,303,155,,1
1,373,5,8,378,180,,1
1,374,1,1,465,89,,7
1,375,28,10,870,265,,11
1,381,5,8,480,89,,1
1,382,7,,434,69,,2
1,383,7,14,530,168,,12
1,384,7,10,657,156,,14
1,385,11,8,442,149,,9
1,386,6,1,356,86,,5
1,387,4,3,441,86,,11
1,400,4,12,349,139,1,21
1,401,4,9,399,269,,12
1,402,8,11,477,160,,11
1,403,,4,350,201,,6
1,404,2,10,582,162,,12
1,405,5,27,496,234,,41
1,406,5,16,356,157,,38
1,407,13,13,628,279,,15
1,408,2,13,466,137,1,24
1,409,19,40,915,479,2,64
1,410,,7,624,196,,8
1,411,4,42,747,263,,20
1,412,,7,206,69,,2
1,413,20,22,701,316,,14
1,414,9,1,287,93,,11
1,415,29,2,280,94,,3
1,416,2,7,385,138,,6
1,417,6,11,449,210,,8
1,418,11,11,494,170,,7
1,419,19,9,774,337,,23
1,420,13,30,898,471,1,39
1,421,8,11,648,289,,23
1,422,106,16,1318,713,,36
1,423,170,12,1542,494,,52
1,424,147,18,1887,429,,24
1,425,111,9,1257,283,,21
1,426,38,,1035,141,,14
1,427,79,2,1763,340,,12
1,428,15,,795,114,,3
1,429,48,,1255,94,,5
1,430,4,1,713,108,,3
1,431,1,16,402,287,1,33
1,432,,30,573,385,,42
1,433,,10,311,295,,20
1,434,,15,255,201,1,4
1,435,10,10,520,308,,32
1,436,3,6,368,242,,11
1,437,9,17,301,177,,14
1,438,,67,625,601,22,214
1,439,7,53,758,559,1,96
1,440,5,6,250,116,,12
1,441,2,6,327,261,,10
1,442,10,6,301,321,,2
1,443,7,9,288,269,1,8
1,444,3,3,290,271,,1
1,445,15,7,297,216,1,10
1,446,2,13,372,202,,11
1,447,85,5,1970,354,,18
1,448,25,8,1127,296,,18
1,449,23,14,1208,252,1,12
1,450,10,,475,81,,4
1,451,12,14,510,195,,19
1,452,11,,450,112,1,2
1,453,16,33,1137,453,,36
1,454,6,4,825,212,,19
1,455,94,6,1537,1100,,33
1,456,38,8,1057,260,,11
1,461,16,10,343,132,,12
1,462,8,7,288,154,,10
1,463,3,11,379,135,,13
1,464,3,2,314,112,,10
1,465,6,26,770,268,,22
1,466,24,4,472,173,,17
1,471,17,2,368,158,,2
1,472,,3,321,113,,3
1,473,1,4,328,200,,5
1,474,,3,260,136,,1
1,475,4,8,549,283,,7
1,476,7,10,558,241,,6
1,477,18,30,503,566,,71
1,478,4,29,363,506,,54
1,480,10,12,834,159,,18
1,481,10,13,384,196,,15
1,482,5,1,686,124,,4
1,483,11,19,795,251,1,13
1,484,17,6,629,185,,5
1,485,13,6,674,228,1,7
1,486,24,2,799,175,,18
1,487,9,,685,82,,1
1,488,9,,689,151,,7
1,489,14,12,715,295,,11
1,490,4,2,730,148,1,7
1,491,13,5,401,117,,4
1,492,1,8,341,94,,7
1,493,6,11,514,123,,15
1,494,7,7,396,145,,5
1,495,,29,653,254,1,35
1,496,,3,424,84,,8
1,497,3,5,487,133,,12
1,498,,17,690,334,1,33
1,499,10,2,470,239,,7
1,500,9,1,735,173,,3
1,502,1,24,577,282,,30
1,503,1,2,354,168,,19
1,504,2,7,358,143,,12
1,505,5,9,386,201,,21
1,506,,12,440,116,,12
1,507,,15,443,113,,12
1,508,1,7,336,132,,10
1,509,,2,272,123,1,3
1,510,8,8,727,258,1,5
1,511,19,4,582,173,,8
1,512,15,9,736,189,,11
1,513,29,7,850,252,,10
1,514,17,19,772,178,1,17
1,515,19,2,485,79,,5
1,516,12,33,907,321,1,47
1,517,29,,533,124,1,6
1,518,33,4,685,205,,11
1,519,10,7,338,130,,20
1,520,26,,990,113,,2
1,521,22,14,706,222,1,18
1,522,17,15,951,320,,17
1,523,3,11,553,171,,3
1,524,3,4,342,75,,2
1,525,12,16,569,287,1,37
1,526,5,5,791,101,,3
1,527,4,,292,29,,3
1,528,5,1,365,51,,2
1,529,25,10,1213,378,,27
1,530,26,8,852,126,,10
1,531,4,32,520,238,,27
1,532,2,19,528,166,,9
1,533,4,10,426,147,,8
1,534,8,13,541,232,,20
1,535,14,11,365,270,,15
1,536,14,3,292,138,,12
1,537,20,1,975,64,,5
1,538,11,,889,136,,1
1,539,9,,1133,87,,1
1,540,5,12,790,214,,7
1,541,50,2,1782,326,,9
1,542,1,20,494,258,,7
1,543,3,13,315,187,,10
1,544,15,21,653,293,,18
1,545,14,27,547,228,,21
1,546,16,5,653,153,,5
1,547,7,19,540,245,,11
1,548,19,10,894,140,,4
1,549,7,18,801,246,,24
1,550,23,14,591,145,,4
1,551,1,,105,172,,
1,552,1,,944,188,,3
1,553,30,,1805,420,2,37
1,554,2,,438,177,,3
1,555,3,2,502,102,,
1,556,,,525,97,1,2
1,557,13,,2203,348,,10
1,558,2,,472,107,,2
1,559,,,1354,190,,
1,560,16,,1307,139,,17
1,561,9,43,802,231,,60
1,562,6,18,1245,213,,20
1,563,3,1,964,133,,11
1,564,9,1,470,58,,1
1,565,4,6,688,130,,7
1,566,41,2,1121,137,,3
1,567,4,,114,16,,2
1,568,34,,1119,118,,5
1,569,13,,1467,68,,1
1,570,7,1,837,182,,3
1,571,4,1,1046,246,,11
1,572,5,1,337,202,,3
1,573,2,,1095,160,,3
1,601,29,2,794,171,1,6
1,602,123,3,1638,316,,31
1,603,138,1,2935,315,,19
