county,precinct,asian,black,white,latino,native,other
59,1,2,19,303,70,,5
59,4,2,9,508,175,,1
59,6,,2,491,214,,6
59,7,1,,304,207,,1
59,8,,2,123,12,,4
59,9,,5,74,1,,1
