county_prec,total_reg
001_461,513.0
001_462,467.0
001_463,541.0
001_464,441.0
001_465,1092.0
001_466,690.0
001_471,547.0
001_472,440.0
001_473,538.0
001_474,400.0
001_475,851.0
001_476,822.0
001_477,1188.0
001_478,956.0
001_480,1033.0
001_481,618.0
001_482,820.0
001_483,1090.0
001_484,842.0
001_485,929.0
001_486,1018.0
001_487,777.0
001_488,856.0
001_489,1047.0
001_490,892.0
001_491,540.0
001_492,451.0
001_493,669.0
001_494,560.0
001_495,972.0
001_496,519.0
001_497,640.0
001_498,1075.0
001_499,728.0
001_500,921.0
001_502,914.0
001_503,544.0
001_504,522.0
001_505,622.0
001_506,580.0
001_507,583.0
001_508,486.0
001_509,401.0
001_510,1007.0
001_511,786.0
001_512,960.0
001_513,1148.0
001_514,1004.0
001_515,590.0
001_516,1321.0
001_517,693.0
001_518,938.0
001_519,505.0
001_520,1131.0
001_521,983.0
001_522,1320.0
001_523,741.0
001_524,426.0
001_525,922.0
001_526,905.0
001_527,328.0
001_528,424.0
001_529,1653.0
001_530,1022.0
001_531,821.0
001_532,724.0
001_533,595.0
001_534,814.0
001_535,675.0
001_536,459.0
001_537,1065.0
001_538,1037.0
001_539,1230.0
001_540,1028.0
001_541,2169.0
001_542,780.0
001_543,528.0
001_544,1e3
001_545,837.0
001_546,832.0
001_547,822.0
001_548,1067.0
001_549,1096.0
001_550,777.0
001_551,278.0
001_552,1136.0
001_553,2294.0
001_554,620.0
001_555,609.0
001_556,625.0
001_557,2574.0
001_558,583.0
001_559,1544.0
001_560,1479.0
001_561,1145.0
001_562,1502.0
001_563,1112.0
001_564,539.0
001_565,835.0
001_566,1304.0
001_567,136.0
001_568,1276.0
001_569,1549.0
001_570,1030.0
001_571,1308.0
001_572,548.0
001_573,1260.0
001_601,1003.0
001_602,2111.0
001_603,3408.0
003_001,623.0
003_002,647.0
003_003,412.0
003_004,330.0
003_005,856.0
003_006,186.0
005_001,575.0
005_002,569.0
005_003,646.0
005_004,572.0
005_005,1394.0
005_006,693.0
005_007,779.0
005_009,957.0
005_010,792.0
005_011,1058.0
005_012,468.0
005_013,670.0
005_014,767.0
005_015,396.0
005_016,440.0
005_021,1120.0
005_022,740.0
005_023,526.0
005_024,358.0
005_025,433.0
005_031,742.0
005_032,382.0
005_033,507.0
005_034,391.0
005_035,535.0
005_036,757.0
005_041,1147.0
005_042,454.0
005_043,495.0
005_044,26.0
005_045,17.0
005_046,156.0
005_047,9.0
005_051,323.0
005_052,622.0
005_061,385.0
005_062,482.0
005_063,1020.0
005_071,435.0
005_072,879.0
005_073,351.0
005_081,298.0
005_082,486.0
005_083,368.0
005_084,689.0
005_085,436.0
005_090,406.0
005_091,791.0
005_092,417.0
005_093,862.0
005_094,1010.0
005_101,1218.0
005_102,953.0
005_103,297.0
005_104,88.0
006_001,151.0
006_002,271.0
006_003,109.0
006_004,446.0
006_005,1738.0
006_006,153.0
006_007,664.0
006_008,783.0
006_009,1090.0
006_010,634.0
006_011,904.0
006_012,427.0
006_013,439.0
006_014,659.0
006_015,1228.0
006_016,432.0
006_017,1126.0
006_018,297.0
006_019,269.0
006_020,683.0
006_021,342.0
006_022,319.0
006_023,106.0
006_024,305.0
006_025,221.0
007_001,1659.0
007_002,439.0
007_003,339.0
007_004,395.0
007_005,632.0
007_007,296.0
007_010,148.0
007_011,218.0
007_012,271.0
007_013,134.0
007_014,276.0
007_015,427.0
007_016,895.0
007_017,435.0
007_018,138.0
007_019,204.0
007_020,451.0
007_021,639.0
007_022,643.0
009_001,129.0
009_002,175.0
009_003,185.0
009_004,568.0
009_005,419.0
009_006,395.0
009_007,641.0
009_008,862.0
009_009,873.0
009_010,419.0
009_011,1099.0
009_012,874.0
009_013,541.0
009_014,681.0
009_015,747.0
009_016,40.0
009_017,944.0
009_018,1917.0
009_019,1191.0
009_020,748.0
009_021,850.0
009_022,386.0
009_023,562.0
009_024,1226.0
009_025,392.0
009_026,393.0
009_027,184.0
009_028,322.0
009_029,426.0
009_030,435.0
009_031,435.0
009_032,417.0
009_033,717.0
009_034,121.0
009_035,638.0
009_036,227.0
009_037,965.0
011_001,97.0
011_002,622.0
011_003,391.0
011_004,212.0
013_001,441.0
013_002,405.0
013_003,377.0
013_004,784.0
013_005,1068.0
013_006,485.0
