county_prec,pct_obama,pct_romney,obama,romney
001_001,0.4273255813953488,0.5319767441860465,294.0,366.0
001_002,0.5104895104895105,0.4595404595404595,511.0,460.0
001_003,0.4759493670886076,0.4708860759493671,376.0,372.0
001_004,0.4823321554770318,0.4752650176678445,273.0,269.0
001_005,0.5483271375464684,0.4070631970260223,295.0,219.0
001_006,0.5101253616200578,0.43490838958534234,529.0,451.0
001_007,0.5887404580152672,0.36259541984732824,617.0,380.0
001_008,0.5121212121212121,0.42727272727272725,169.0,141.0
001_009,0.554,0.4,277.0,200.0
001_010,0.5503246753246753,0.4042207792207792,339.0,249.0
001_011,0.6469864698646987,0.30996309963099633,526.0,252.0
001_012,0.6519886363636364,0.30113636363636365,459.0,212.0
001_013,0.565625,0.38125,362.0,244.0
001_014,0.6013513513513513,0.34797297297297297,356.0,206.0
001_015,0.568685376661743,0.3988183161004431,385.0,270.0
001_016,0.62,0.31333333333333335,279.0,141.0
001_017,0.5822942643391521,0.35785536159601,467.0,287.0
001_018,0.624484181568088,0.32599724896836313,454.0,237.0
001_019,0.4457455113192818,0.5035128805620609,571.0,645.0
001_020,0.5429447852760736,0.4130879345603272,531.0,404.0
001_021,0.517709118311982,0.43556895252449135,687.0,578.0
001_022,0.5121621621621621,0.4445945945945946,379.0,329.0
001_023,0.5568927789934355,0.39606126914660833,509.0,362.0
001_024,0.5325670498084292,0.41226053639846744,695.0,538.0
001_025,0.5042174320524836,0.4592314901593252,538.0,490.0
001_026,0.6130705394190872,0.3360995850622407,591.0,324.0
001_027,0.6566666666666666,0.31,394.0,186.0
001_028,0.6932773109243697,0.25210084033613445,330.0,120.0
001_029,0.6357723577235772,0.3203252032520325,391.0,197.0
001_030,0.5128205128205128,0.4444444444444444,720.0,624.0
001_031,0.8168421052631579,0.15789473684210525,388.0,75.0
001_032,0.6967741935483871,0.2645161290322581,432.0,164.0
001_033,0.8044914134742405,0.17040951122853368,609.0,129.0
001_034,0.7235772357723578,0.23848238482384823,267.0,88.0
001_035,0.6884816753926701,0.2643979057591623,263.0,101.0
001_036,0.7656565656565657,0.19393939393939394,379.0,96.0
001_037,0.6452879581151832,0.32329842931937175,493.0,247.0
001_038,0.7117852975495916,0.24387397899649943,610.0,209.0
001_039,0.6516709511568124,0.29562982005141386,507.0,230.0
001_040,0.7168141592920354,0.2407079646017699,405.0,136.0
001_041,0.6832460732984293,0.28664921465968585,522.0,219.0
001_042,0.6871035940803383,0.2769556025369979,325.0,131.0
001_043,0.7046263345195729,0.2508896797153025,396.0,141.0
001_044,0.698870765370138,0.24592220828105396,557.0,196.0
001_045,0.7562642369020501,0.18906605922551253,332.0,83.0
001_046,0.7402402402402403,0.22522522522522523,493.0,150.0
001_047,0.7207207207207207,0.24324324324324326,160.0,54.0
001_048,0.7703349282296651,0.19617224880382775,483.0,123.0
001_049,0.7442528735632183,0.20545977011494254,518.0,143.0
001_050,0.7106299212598425,0.25688976377952755,722.0,261.0
001_051,0.7830374753451677,0.1755424063116371,397.0,89.0
