county,precinct,county_prec,total_votes,pct_trump,pct_clinton,clinton,trump,pct_latino
001,001,001_001,733.0,0.4242837653478854,0.47203274215552526,346.0,311.0,0.3291984732824427
001,002,001_002,624.0,0.4326923076923077,0.46153846153846156,288.0,270.0,0.2916666666666667
001,003,001_003,849.0,0.41460541813898705,0.44876325088339225,381.0,352.0,0.33043478260869563
001,004,001_004,572.0,0.3531468531468531,0.506993006993007,290.0,202.0,0.1903485254691689
001,005,001_005,527.0,0.34724857685009486,0.573055028462998,302.0,183.0,0.35336194563662376
001,006,001_006,1008.0,0.3740079365079365,0.503968253968254,508.0,377.0,0.3663510560815732
001,007,001_007,1086.0,0.358195211786372,0.5285451197053407,574.0,389.0,0.48278102664067574
001,008,001_008,325.0,0.3384615384615385,0.5230769230769231,170.0,110.0,0.47285067873303166
001,009,001_009,517.0,0.3713733075435203,0.4835589941972921,250.0,192.0,0.6039215686274509
001,010,001_010,600.0,0.37166666666666665,0.47833333333333333,287.0,223.0,0.42778793418647165
001,011,001_011,791.0,0.25410872313527183,0.6257901390644753,495.0,201.0,0.4359892569382274
001,012,001_012,645.0,0.28527131782945736,0.6108527131782946,394.0,184.0,0.37790055248618787
001,013,001_013,608.0,0.2730263157894737,0.5723684210526315,348.0,166.0,0.22936893203883496
001,014,001_014,590.0,0.3152542372881356,0.5372881355932203,317.0,186.0,0.4832347140039448
001,015,001_015,671.0,0.36661698956780925,0.5067064083457526,340.0,246.0,0.44547996272134205
001,016,001_016,462.0,0.3203463203463203,0.5324675324675324,246.0,148.0,0.4836879432624113
001,017,001_017,783.0,0.31417624521072796,0.5389527458492975,422.0,246.0,0.4092940125111707
001,018,001_018,693.0,0.31313131313131315,0.5988455988455988,415.0,217.0,0.5312190287413281
001,019,001_019,1343.0,0.44973938942665675,0.4206999255398362,565.0,604.0,0.26768926274121724
001,020,001_020,983.0,0.387589013224822,0.49440488301119023,486.0,381.0,0.4604982206405694
001,021,001_021,1323.0,0.382464096749811,0.4935752078609221,653.0,506.0,0.3666841278156103
001,022,001_022,712.0,0.3904494382022472,0.4452247191011236,317.0,278.0,0.4144486692015209
001,023,001_023,929.0,0.379978471474704,0.4876210979547901,453.0,353.0,0.45386346586646664
001,024,001_024,1337.0,0.3724756918474196,0.48840688107703817,653.0,498.0,0.3729529846804015
001,025,001_025,1189.0,0.3961312026913373,0.4827586206896552,574.0,471.0,0.43163201008191554
001,026,001_026,1021.0,0.32027424094025464,0.5396669931439765,551.0,327.0,0.5445411922304085
001,027,001_027,606.0,0.2590759075907591,0.5957095709570958,361.0,157.0,0.48788927335640137
001,028,001_028,456.0,0.28289473684210525,0.5657894736842105,258.0,129.0,0.5655172413793104
001,029,001_029,648.0,0.3194444444444444,0.5493827160493827,356.0,207.0,0.5694050991501416
001,030,001_030,1679.0,0.3716497915425849,0.5181655747468732,870.0,624.0,0.35934579439252334
001,031,001_031,484.0,0.1322314049586777,0.7148760330578512,346.0,64.0,0.515185601799775
001,032,001_032,609.0,0.23809523809523808,0.625615763546798,381.0,145.0,0.7907986111111112
001,033,001_033,729.0,0.19615912208504802,0.6899862825788752,503.0,143.0,0.8317955997161107
001,034,001_034,347.0,0.25360230547550433,0.6311239193083573,219.0,88.0,0.7750342935528121
001,035,001_035,365.0,0.28493150684931506,0.589041095890411,215.0,104.0,0.7455621301775148
001,036,001_036,473.0,0.21987315010570824,0.6744186046511628,319.0,104.0,0.8011560693641618
001,037,001_037,743.0,0.2960969044414536,0.6016150740242261,447.0,220.0,0.7433789954337899
001,038,001_038,861.0,0.25551684088269455,0.6120789779326364,527.0,220.0,0.7861635220125787
001,039,001_039,754.0,0.28381962864721483,0.5848806366047745,441.0,214.0,0.5759865659109992
001,040,001_040,536.0,0.28171641791044777,0.6044776119402985,324.0,151.0,0.8289334741288279
001,041,001_041,842.0,0.27434679334916867,0.6045130641330166,509.0,231.0,0.7196969696969697
001,042,001_042,470.0,0.26170212765957446,0.5808510638297872,273.0,123.0,0.7769230769230769
001,043,001_043,615.0,0.27154471544715447,0.6325203252032521,389.0,167.0,0.7473214285714286
001,044,001_044,847.0,0.27508854781582054,0.6033057851239669,511.0,233.0,0.7753623188405797
001,045,001_045,395.0,0.3012658227848101,0.5772151898734177,228.0,119.0,0.8626373626373627
001,046,001_046,663.0,0.2669683257918552,0.6199095022624435,411.0,177.0,0.8377926421404682
001,047,001_047,243.0,0.2880658436213992,0.6213991769547325,151.0,70.0,0.8103896103896104
001,048,001_048,680.0,0.22941176470588234,0.638235294117647,434.0,156.0,0.8234830575256107
001,049,001_049,856.0,0.18691588785046728,0.7044392523364486,603.0,160.0,0.8003607937462417
001,050,001_050,1109.0,0.260595130748422,0.6185752930568079,686.0,289.0,0.7447183098591549
001,051,001_051,492.0,0.17276422764227642,0.7398373983739838,364.0,85.0,0.867741935483871
001,052,001_052,1244.0,0.2692926045016077,0.5884244372990354,732.0,335.0,0.7038567493112947
001,053,001_053,407.0,0.257985257985258,0.628992628992629,256.0,105.0,0.7904624277456648
001,054,001_054,1148.0,0.30139372822299654,0.5496515679442509,631.0,346.0,0.601010101010101
001,055,001_055,591.0,0.27749576988155666,0.5871404399323181,347.0,164.0,0.669310071371927
001,056,001_056,672.0,0.3333333333333333,0.5491071428571429,369.0,224.0,0.7353497164461248
001,057,001_057,940.0,0.4053191489361702,0.4925531914893617,463.0,381.0,0.4245204336947456
001,058,001_058,163.0,0.31901840490797545,0.5705521472392638,93.0,52.0,0.5234159779614325
