county,precinct,code,reg_voters
BERNALILLO,353,,441
BERNALILLO,354,,621
BERNALILLO,355,,627
BERNALILLO,356,,580
BERNALILLO,357,,429
BERNALILLO,358,,1709
BERNALILLO,371,,869
BERNALILLO,372,,454
BERNALILLO,373,,585
BERNALILLO,374,,558
BERNALILLO,375,,1258
BERNALILLO,381,,589
BERNALILLO,382,,510
BERNALILLO,383,,795
BERNALILLO,384,,859
BERNALILLO,385,,641
BERNALILLO,386,,479
BERNALILLO,387,,569
BERNALILLO,400,,519
BERNALILLO,401,,696
BERNALILLO,402,,695
BERNALILLO,403,,583
BERNALILLO,404,,782
BERNALILLO,405,,847
BERNALILLO,406,,591
BERNALILLO,407,,918
BERNALILLO,408,,660
BERNALILLO,409,,1542
BERNALILLO,410,,855
BERNALILLO,411,,1120
BERNALILLO,412,,281
BERNALILLO,413,,1122
BERNALILLO,414,,403
BERNALILLO,415,,391
BERNALILLO,416,,527
BERNALILLO,417,,712
BERNALILLO,418,,542
BERNALILLO,419,,1186
BERNALILLO,420,,1492
BERNALILLO,421,,983
BERNALILLO,422,,2147
BERNALILLO,423,,2144
BERNALILLO,424,,2418
BERNALILLO,425,,1599
BERNALILLO,426,,1214
BERNALILLO,427,,2176
BERNALILLO,428,,932
BERNALILLO,429,,1369
BERNALILLO,430,,832
BERNALILLO,431,,762
BERNALILLO,432,,1062
BERNALILLO,433,,644
BERNALILLO,434,,471
BERNALILLO,435,,916
BERNALILLO,436,,661
BERNALILLO,437,,560
BERNALILLO,438,,1588
BERNALILLO,439,,1468
BERNALILLO,440,,407
BERNALILLO,441,,647
BERNALILLO,442,,662
BERNALILLO,443,,584
BERNALILLO,444,,589
BERNALILLO,445,,551
BERNALILLO,446,,614
BERNALILLO,447,,2281
BERNALILLO,448,,1480
BERNALILLO,449,,1508
BERNALILLO,450,,583
BERNALILLO,451,,732
BERNALILLO,452,,597
BERNALILLO,453,,1727
BERNALILLO,454,,1030
BERNALILLO,455,,2671
BERNALILLO,456,,1355
BERNALILLO,461,,537
BERNALILLO,462,,477
BERNALILLO,463,,569
BERNALILLO,464,,461
BERNALILLO,465,,1151
BERNALILLO,466,,700
BERNALILLO,471,,582
BERNALILLO,472,,455
BERNALILLO,473,,546
BERNALILLO,474,,430
BERNALILLO,475,,857
BERNALILLO,476,,796
BERNALILLO,477,,1173
BERNALILLO,478,,995
BERNALILLO,480,,992
BERNALILLO,481,,635
BERNALILLO,482,,808
BERNALILLO,483,,1114
BERNALILLO,484,,829
BERNALILLO,485,,947
BERNALILLO,486,,1001
BERNALILLO,487,,808
BERNALILLO,488,,896
BERNALILLO,489,,1098
BERNALILLO,490,,863
BERNALILLO,491,,572
BERNALILLO,492,,461
BERNALILLO,493,,685
BERNALILLO,494,,572
BERNALILLO,495,,981
BERNALILLO,496,,541
BERNALILLO,497,,653
BERNALILLO,498,,1203
BERNALILLO,499,,736
BERNALILLO,500,,944
BERNALILLO,502,,980
BERNALILLO,503,,542
BERNALILLO,504,,518
BERNALILLO,505,,593
BERNALILLO,506,,619
BERNALILLO,507,,566
BERNALILLO,508,,496
BERNALILLO,509,,407
BERNALILLO,510,,1009
BERNALILLO,511,,783
BERNALILLO,512,,999
BERNALILLO,513,,1107
BERNALILLO,514,,986
BERNALILLO,515,,610
BERNALILLO,516,,1368
BERNALILLO,517,,682
BERNALILLO,518,,955
BERNALILLO,519,,494
BERNALILLO,520,,1138
BERNALILLO,521,,993
BERNALILLO,522,,1320
BERNALILLO,523,,728
BERNALILLO,524,,458
BERNALILLO,525,,930
BERNALILLO,526,,910
BERNALILLO,527,,379
BERNALILLO,528,,417
BERNALILLO,529,,1689
BERNALILLO,530,,995
BERNALILLO,531,,836
BERNALILLO,532,,737
BERNALILLO,533,,583
BERNALILLO,534,,803
BERNALILLO,535,,657
BERNALILLO,536,,468
BERNALILLO,537,,1073
BERNALILLO,538,,1060
BERNALILLO,539,,1247
BERNALILLO,540,,1038
BERNALILLO,541,,2042
BERNALILLO,542,,785
BERNALILLO,543,,546
BERNALILLO,544,,1000
BERNALILLO,545,,853
BERNALILLO,546,,868
BERNALILLO,547,,839
BERNALILLO,548,,1120
BERNALILLO,549,,1054
BERNALILLO,550,,802
BERNALILLO,551,,258
BERNALILLO,552,,1142
BERNALILLO,553,,2258
BERNALILLO,554,,607
BERNALILLO,555,,656
BERNALILLO,556,,635
BERNALILLO,557,,2514
BERNALILLO,558,,963
BERNALILLO,559,,1495
BERNALILLO,560,,1449
BERNALILLO,561,,1153
BERNALILLO,562,,1515
BERNALILLO,563,,1091
BERNALILLO,564,,543
BERNALILLO,565,,808
BERNALILLO,566,,1291
BERNALILLO,567,,128
BERNALILLO,568,,1313
BERNALILLO,569,,1583
BERNALILLO,570,,670
BERNALILLO,571,,1295
BERNALILLO,572,,495
BERNALILLO,573,,1182
BERNALILLO,601,,997
BERNALILLO,602,,2095
BERNALILLO,603,,3250
CATRON,1,,679
CATRON,2,,666
CATRON,3,,407
CATRON,4,,368
CATRON,5,,809
CATRON,6,,187
CHAVES,1,,613
CHAVES,10,,742
CHAVES,101,,1286
CHAVES,102,,945
CHAVES,103,,322
CHAVES,104,,99
CHAVES,11,,1104
CHAVES,12,,438
CHAVES,13,,646
CHAVES,14,,914
CHAVES,15,,426
CHAVES,16,,435
CHAVES,2,,604
CHAVES,21,,1102
CHAVES,22,,748
CHAVES,23,,548
CHAVES,24,,410
CHAVES,25,,443
CHAVES,3,,673
CHAVES,31,,777
CHAVES,32,,394
CHAVES,33,,532
CHAVES,34,,395
CHAVES,35,,563
CHAVES,36,,804
CHAVES,4,,607
CHAVES,41,,1154
CHAVES,42,,509
CHAVES,43,,531
CHAVES,44,,31
CHAVES,45,,19
CHAVES,46,,150
CHAVES,47,,8
CHAVES,5,,1423
CHAVES,51,,345
CHAVES,52,,625
CHAVES,6,,756
CHAVES,61,,395
CHAVES,62,,484
CHAVES,63,,1078
CHAVES,7,,794
CHAVES,71,,440
CHAVES,72,,825
CHAVES,73,,348
CHAVES,81,,334
CHAVES,82,,499
CHAVES,83,,404
CHAVES,84,,729
CHAVES,85,,485
CHAVES,9,,927
CHAVES,90,,405
CHAVES,91,,783
CHAVES,92,,426
CHAVES,93,,892
CHAVES,94,,984
CIBOLA,1,,141
CIBOLA,2,,300
CIBOLA,3,,129
CIBOLA,4,,481
CIBOLA,5,,1794
CIBOLA,6,,180
CIBOLA,7,,664
CIBOLA,8,,867
CIBOLA,9,,1265
CIBOLA,10,,644
CIBOLA,11,,944
CIBOLA,12,,501
CIBOLA,13,,448
CIBOLA,14,,696
CIBOLA,15,,1319
CIBOLA,16,,428
CIBOLA,17,,1168
CIBOLA,18,,349
CIBOLA,19,,261
CIBOLA,20,,776
CIBOLA,21,,358
CIBOLA,22,,334
CIBOLA,23,,112
CIBOLA,24,,363
CIBOLA,25,,225
COLFAX,1,,1812
COLFAX,2,,479
COLFAX,3,,385
COLFAX,4,,415
COLFAX,5,,683
COLFAX,7,,349
COLFAX,10,,154
COLFAX,11,,241
COLFAX,12,,310
COLFAX,13,,171
COLFAX,14,,280
COLFAX,15,,440
COLFAX,16,,991
COLFAX,17,,491
COLFAX,18,,150
COLFAX,19,,226
COLFAX,20,,512
COLFAX,21,,670
COLFAX,22,,641
CURRY,1,,142
CURRY,2,,183
CURRY,3,,186
CURRY,4,,590
CURRY,5,,435
CURRY,6,,425
CURRY,7,,718
CURRY,8,,834
CURRY,9,,943
CURRY,10,,407
CURRY,11,,1163
CURRY,12,,892
CURRY,13,,571
CURRY,14,,720
CURRY,15,,753
CURRY,16,,47
CURRY,17,,1006
CURRY,18,,1747
CURRY,19,,1265
CURRY,20,,820
CURRY,21,,915
CURRY,22,,393
CURRY,23,,560
CURRY,24,,1148
CURRY,25,,428
CURRY,26,,433
CURRY,27,,220
CURRY,28,,344
CURRY,29,,407
CURRY,30,,458
CURRY,31,,451
CURRY,32,,419
CURRY,33,,709
CURRY,34,,124
CURRY,35,,593
CURRY,36,,227
CURRY,37,,930
DE BACA,1,,110
DE BACA,2,,636
DE BACA,3,,426
DE BACA,4,,227
DONA ANA,1,,466
DONA ANA,100,,783
DONA ANA,11,,1189
DONA ANA,111,,116
DONA ANA,2,,507
DONA ANA,3,,378
DONA ANA,4,,933
DONA ANA,5,,1138
DONA ANA,6,,557
DONA ANA,7,,845
DONA ANA,8,,1126
DONA ANA,9,,332
DONA ANA,10,,859
DONA ANA,101,,1084
DONA ANA,102,,2224
DONA ANA,103,,899
DONA ANA,104,,511
DONA ANA,105,,1746
DONA ANA,106,,1716
DONA ANA,107,,924
DONA ANA,108,,1065
DONA ANA,109,,1620
DONA ANA,110,,1095
DONA ANA,112,,1497
DONA ANA,113,,799
DONA ANA,114,,1002
DONA ANA,115,,594
DONA ANA,116,,562
DONA ANA,117,,1244
DONA ANA,118,,968
DONA ANA,119,,777
DONA ANA,12,,1753
DONA ANA,120,,104
