county_prec,reg_12
001_573,1182
001_601,997
001_602,2095
001_603,3250
003_001,679
003_002,666
003_003,407
003_004,368
003_005,809
003_006,187
005_001,613
005_002,604
005_003,673
005_004,607
005_005,1423
005_006,756
005_007,794
005_009,927
005_010,742
005_011,1104
005_012,438
005_013,646
005_014,914
005_015,426
005_016,435
005_021,1102
005_022,748
005_023,548
005_024,410
005_025,443
005_031,777
005_032,394
005_033,532
005_034,395
005_035,563
005_036,804
005_041,1154
005_042,509
005_043,531
005_044,31
005_045,19
005_046,150
005_047,8
005_051,345
005_052,625
005_061,395
005_062,484
005_063,1078
005_071,440
005_072,825
005_073,348
005_081,334
005_082,499
005_083,404
005_084,729
005_085,485
005_090,405
005_091,783
005_092,426
005_093,892
005_094,984
005_101,1286
005_102,945
005_103,322
005_104,99
006_001,141
006_002,300
006_003,129
006_004,481
006_005,1794
006_006,180
006_007,664
006_008,867
006_009,1265
006_010,644
006_011,944
006_012,501
006_013,448
006_014,696
006_015,1319
006_016,428
006_017,1168
006_018,349
006_019,261
006_020,776
006_021,358
006_022,334
006_023,112
006_024,363
006_025,225
007_001,1812
007_002,479
007_003,385
007_004,415
007_005,683
007_007,349
007_010,154
007_011,241
007_012,310
007_013,171
007_014,280
007_015,440
007_016,991
007_017,491
007_018,150
007_019,226
007_020,512
007_021,670
007_022,641
009_001,142
009_002,183
009_003,186
009_004,590
009_005,435
009_006,425
009_007,718
009_008,834
009_009,943
009_010,407
009_011,1163
009_012,892
009_013,571
009_014,720
009_015,753
009_016,47
009_017,1006
009_018,1747
009_019,1265
009_020,820
009_021,915
009_022,393
009_023,560
009_024,1148
009_025,428
009_026,433
009_027,220
009_028,344
009_029,407
009_030,458
009_031,451
009_032,419
009_033,709
009_034,124
009_035,593
009_036,227
009_037,930
011_001,110
011_002,636
011_003,426
011_004,227
013_001,466
013_002,507
013_003,378
013_004,933
013_005,1138
013_006,557
013_007,845
013_008,1126
013_009,332
013_010,859
013_011,1189
013_012,1753
013_013,3025
013_014,1819
013_015,1832
013_016,786
013_017,837
013_018,981
013_019,1280
013_020,1027
013_021,1045
013_022,1431
013_023,799
013_024,848
013_025,549
013_026,1283
013_027,745
013_028,975
013_029,460
013_030,612
013_031,684
013_032,239
013_033,689
013_034,1082
013_035,458
013_036,371
013_037,619
013_038,1232
013_039,746
013_040,901
013_041,425
013_042,450
013_043,528
013_044,631
013_045,667
013_046,553
013_047,747
013_048,1095
013_049,625
013_050,437
013_051,636
013_052,1363
013_053,1124
013_054,1092
013_055,1280
013_056,1243
013_057,688
013_058,1267
013_059,1696
013_060,248
013_061,1288
013_062,1548
013_063,1086
013_064,443
013_065,740
013_066,1700
013_067,2024
013_068,652
013_069,851
013_070,572
013_071,736
013_072,427
013_073,1300
013_074,610
013_075,1402
013_076,581
013_077,545
013_078,1799
013_079,766
013_080,993
013_081,261
013_082,670
013_083,1734
013_084,827
013_085,821
013_086,1743
013_087,1250
013_088,357
013_089,788
013_090,766
013_091,675
013_092,304
013_093,278
013_094,724
013_095,180
013_096,901
013_097,1847
013_098,628
013_099,1229
013_100,783
013_101,1084
013_102,2224
013_103,899
013_104,511
013_105,1746
013_106,1716
013_107,924
013_108,1065
013_109,1620
013_110,1095
013_111,116
013_112,1497
013_113,799
013_114,1002
013_115,594
013_116,562
013_117,1244
013_118,968
013_119,777
013_120,104
015_001,925
015_002,1278
015_003,617
015_004,1453
015_005,1378
015_006,1154
015_007,1426
015_008,719
015_009,785
015_010,739
015_011,484
015_012,191
015_013,741
015_014,463
015_015,657
015_016,985
015_017,926
015_018,844
015_019,690
015_020,688
015_021,536
015_023,712
015_025,460
015_026,713
015_027,1176
015_028,941
015_029,56
015_030,84
015_032,1217
015_033,1166
015_034,1423
015_035,769
015_036,765
015_037,598
015_038,159
015_039,400
015_040,157
015_041,596
015_042,78
015_044,1084
015_045,704
017_001,453
017_002,499
017_003,54
017_004,114
017_005,922
017_006,88
017_007,421
017_008,1195
017_009,310
017_010,243
017_011,1357
017_012,1824
017_013,1380
017_014,955
017_015,1037
017_016,939
017_017,424
017_018,744
017_019,625
017_020,825
017_021,194
017_022,1030
017_023,275
017_024,407
017_025,469
017_026,494
017_027,457
017_028,633
017_029,436
017_030,505
017_031,80
017_032,319
017_033,513
017_034,584
017_035,93
019_001,888
019_002,840
019_003,764
019_004,319
019_005,684
021_001,299
021_002,462
023_001,560
023_002,539
023_003,827
023_004,824
023_005,196
023_006,257
025_002,34
025_003,778
025_010,901
025_011,447
025_012,404
025_013,1058
025_014,753
025_015,1294
025_016,410
025_017,463
025_018,353
025_020,1472
025_021,309
025_022,1324
025_023,1125
025_024,727
025_025,635
025_026,1061
025_027,775
025_028,565
025_029,812
025_030,511
025_031,861
025_032,689
025_033,776
025_034,353
025_035,420
025_036,676
025_041,1137
025_042,730
025_043,765
025_044,692
025_051,405
025_052,1138
025_053,828
025_054,456
025_055,341
025_061,714
025_062,325
025_071,659
025_072,803
025_073,712
025_074,468
027_001,298
027_002,337
027_003,1087
027_004,518
027_005,1229
027_006,1011
027_007,1382
027_008,1159
027_009,1299
027_010,420
027_011,1060
027_012,445
027_013,569
027_014,706
027_015,339
027_016,186
027_017,419
027_018,232
027_019,196
027_020,386
027_021,705
027_022,222
028_001,770
028_002,504
028_003,675
028_004,870
028_005,529
028_006,1335
028_007,643
028_008,725
028_009,536
028_010,394
028_011,906
028_012,759
028_013,765
028_014,750
028_015,1785
028_016,1317
028_017,530
029_001,400
029_002,828
029_003,1223
029_004,780
029_005,1378
029_006,911
029_008,969
029_010,1348
029_011,1018
029_012,855
029_013,1542
029_014,1360
031_001,857
031_002,302
031_003,314
031_004,599
031_005,1103
031_006,1175
031_007,813
031_008,369
031_009,1095
031_010,953
031_011,302
031_012,478
031_013,412
031_014,1015
031_015,1178
031_016,485
031_017,961
031_018,260
031_019,993
031_020,791
031_021,757
031_022,635
031_023,771
031_024,804
031_025,1365
031_026,512
031_027,1286
031_028,691
031_029,798
031_030,1264
031_031,575
031_032,407
031_033,923
031_034,401
031_035,512
031_036,152
031_037,254
031_038,354
031_039,607
031_040,362
031_041,685
031_042,253
031_043,882
031_044,432
031_045,528
031_046,703
031_047,357
031_048,1172
031_049,1042
031_050,199
031_052,314
031_053,607
031_054,617
031_055,467
031_056,683
031_057,472
031_058,711
031_059,316
033_001,754
033_002,682
033_003,346
033_004,401
033_005,371
033_006,187
033_007,232
033_008,378
033_009,141
033_010,245
033_011,314
035_001,869
035_002,41
035_003,32
035_004,81
035_005,280
035_006,194
035_007,304
035_008,1766
035_009,755
035_010,1876
035_011,1099
035_012,1063
035_013,836
035_014,1374
035_015,1163
035_016,621
035_017,1379
035_018,2710
035_019,468
035_020,420
035_021,1460
035_022,448
035_023,592
035_024,1189
035_025,816
035_026,646
035_027,732
035_028,1309
035_029,1326
035_030,533
035_031,519
035_032,589
035_033,652
035_034,573
035_035,1158
035_036,732
035_037,557
035_038,162
035_039,779
035_040,615
035_041,752
037_001,150
037_002,99
037_003,371
037_004,101
037_005,850
037_006,491
037_007,815
037_008,388
037_009,867
037_010,455
037_011,848
037_012,544
039_001,524
039_002,1649
039_003,770
039_004,1041
039_005,520
039_006,314
039_007,841
039_008,460
039_009,593
039_010,877
039_011,1442
039_012,624
039_013,1127
039_014,604
039_015,375
039_016,441
039_017,203
039_018,462
039_019,392
039_020,1079
039_021,105
039_022,138
039_023,269
039_024,1463
039_025,199
039_026,382
039_027,118
039_028,90
039_029,71
039_030,316
039_031,755
039_032,462
039_033,144
039_034,9
039_035,855
039_036,1616
039_037,235
039_038,943
039_039,881
039_040,1147
039_041,1053
039_042,224
041_001,597
041_002,1109
041_003,82
041_004,330
041_005,249
041_006,325
041_007,301
041_008,783
041_009,1064
041_010,1097
041_011,339
041_012,733
041_013,372
041_014,1196
041_015,310
041_016,284
041_017,544
041_018,580
043_001,1577
043_002,1342
043_003,775
043_004,539
043_005,1542
043_006,526
043_007,400
043_008,462
043_009,1148
043_010,409
043_011,1480
043_012,1475
043_013,1191
043_014,469
043_015,1431
043_016,201
043_017,289
043_018,481
043_019,344
043_020,1130
043_021,418
043_022,498
043_023,287
043_024,544
043_025,1269
043_026,438
043_027,153
043_028,661
043_029,308
043_030,1088
043_031,1385
043_032,595
043_033,2117
043_034,829
043_035,1052
043_036,1094
043_037,1567
043_038,1286
043_039,2185
043_040,1282
043_041,1352
043_042,863
043_043,959
043_044,1525
043_045,1304
043_046,1006
043_047,1637
043_048,981
043_049,945
043_050,1078
043_052,435
043_053,1356
043_054,1110
043_055,1048
043_056,582
043_057,658
043_058,1963
043_059,415
043_060,906
043_061,903
043_062,1320
043_063,583
043_064,1553
043_065,1651
043_066,2222
043_067,1861
043_068,1701
043_069,1785
043_070,907
043_071,836
043_072,1724
043_073,635
043_074,1565
043_075,586
043_076,1251
043_078,303
043_079,239
043_080,1342
043_081,1050
043_082,1252
043_083,1144
043_084,1199
043_085,1192
043_086,1086
045_001,1199
045_002,1091
045_003,777
045_004,1663
045_005,1836
045_006,368
045_007,418
045_008,1244
045_009,362
045_010,561
045_011,564
045_012,468
045_013,741
045_014,315
045_015,641
045_016,967
045_017,189
045_018,985
045_019,349
045_020,1311
045_021,915
045_022,1367
045_023,1001
045_024,582
045_025,698
045_026,577
045_027,1175
045_028,636
045_029,614
045_030,1298
045_031,1740
045_032,487
045_033,917
045_034,899
045_035,659
045_036,580
045_037,752
045_038,1076
045_039,1405
045_040,866
045_041,1367
045_042,1163
045_043,801
045_044,1350
045_045,1108
045_046,939
045_047,255
045_048,818
045_049,1593
045_050,992
045_051,936
045_052,549
045_053,1461
045_054,1088
